pop11,pop22,pop33,pop12,pop13,pop23
0.07048216,0.10469739,0.06139245,0.02074746,0.0141121,0.03046063
0.06319729,0.08501392,0.05644937,0.02843341,0.02131091,0.03754981
0.0596886,0.07332143,0.05386571,0.02987655,0.02454926,0.04046995
0.05120207,0.06818693,0.05090234,0.03353583,0.02938754,0.04175134
0.046721,0.06226084,0.05113294,0.03322764,0.03126096,0.04208206
0.04772961,0.05832246,0.0490253,0.03572187,0.0331299,0.0418403
0.04743872,0.0546835,0.0473548,0.03559062,0.03390039,0.0409276
0.04682598,0.05471108,0.04775823,0.03672099,0.03377073,0.0411486
0.04824943,0.05457051,0.0468947,0.03819011,0.03552477,0.04294148
0.04600763,0.0511458,0.04523111,0.03922036,0.03670383,0.04326527
0.04814518,0.05051484,0.04594179,0.03887661,0.03657148,0.04172547
0.04531492,0.05003956,0.0449166,0.03855437,0.03747569,0.04167725
0.04629725,0.05068929,0.0469569,0.04038504,0.03870096,0.04255337
0.0469752,0.05023254,0.04411697,0.03949458,0.03755765,0.04159431
0.04690929,0.04944803,0.04530559,0.04062267,0.03917794,0.04232748
