pop11,pop22,pop33,pop12,pop13,pop23
0.06606543,0.11633711,0.06577362,0.01964877,0.01660171,0.02085604
0.05354496,0.09345443,0.05721179,0.0292075,0.02431766,0.03130529
0.05310831,0.07899954,0.05487468,0.03319263,0.02933817,0.03418548
0.04739272,0.07137994,0.05028799,0.03497821,0.03211734,0.03489824
0.0478587,0.0686542,0.04870812,0.03696937,0.03353726,0.03675587
0.04530629,0.06422033,0.04414922,0.03651567,0.03260763,0.03575325
0.04455393,0.063361,0.04521354,0.03674074,0.03450154,0.03808635
0.04725101,0.06420737,0.04664767,0.04019959,0.03640484,0.03918993
0.04398982,0.05777891,0.04598021,0.03899864,0.03666732,0.03934595
0.04773863,0.05917116,0.04638931,0.04034612,0.03777572,0.04115402
0.04401266,0.05530839,0.04591754,0.03995529,0.03867535,0.04045084
0.04337273,0.05588608,0.04380483,0.04122355,0.03921939,0.04175872
0.04581641,0.05367903,0.04434298,0.04026416,0.03845502,0.0401111
0.0427381,0.05447287,0.04380875,0.04058661,0.03836998,0.04103256
0.04425766,0.05460358,0.04640796,0.04144209,0.03964959,0.04139521
