pop11,pop22,pop33,pop12,pop13,pop23
0.06868493,0.05854098,0.06180732,0.01608067,0.01195303,0.02383868
0.05756249,0.04888789,0.05083811,0.02068932,0.01785091,0.0280376
0.05455487,0.04358683,0.04474153,0.02440394,0.02148188,0.02854571
0.04875309,0.04168761,0.04489795,0.02666957,0.02305814,0.02978929
0.04449044,0.04049717,0.04294348,0.02519937,0.0242633,0.03178134
0.04383698,0.0372527,0.04040376,0.02735366,0.02522495,0.03003144
0.04095698,0.03760029,0.03780395,0.02770176,0.02725733,0.03155327
0.04165745,0.03846832,0.03712648,0.02948484,0.0273391,0.03125622
0.0405748,0.03619975,0.03744416,0.02879904,0.02689876,0.03075199
0.03939585,0.03560307,0.03735388,0.02899446,0.02824125,0.03051361
0.03770399,0.03545578,0.03603083,0.02980307,0.02858357,0.03034914
0.03602361,0.0328388,0.03545473,0.02860666,0.0277036,0.03033164
0.03560257,0.03233692,0.03517981,0.02834232,0.02816788,0.03028531
0.03766194,0.03526344,0.03605731,0.03038367,0.02981567,0.03218407
0.03760977,0.0348043,0.03583728,0.03009456,0.0299143,0.03151349
