pop11,pop22,pop33,pop12,pop13,pop23
0.0634988,0.06207524,0.06470906,0.01623771,0.01631106,0.01558787
0.05401899,0.05620749,0.05262147,0.02082925,0.01998904,0.02051548
0.04608383,0.04646761,0.04666126,0.0239791,0.02439518,0.02463721
0.04429419,0.04297977,0.04386273,0.02525787,0.02653098,0.02614076
0.04311297,0.04045044,0.04276862,0.02610705,0.02675662,0.02613627
0.03975947,0.03869019,0.04162417,0.02853617,0.02829152,0.02887297
0.03861884,0.03853426,0.03726014,0.02767076,0.02867178,0.02873607
0.04056871,0.03871033,0.03916336,0.02923694,0.02855436,0.02947393
0.03668196,0.03865193,0.04056233,0.0290249,0.02980126,0.02910627
0.0368298,0.03483705,0.03802845,0.02858057,0.03021362,0.02887642
0.03633757,0.03749807,0.03728042,0.02894741,0.02903067,0.02907611
0.03590648,0.03669936,0.03656954,0.02974864,0.02934524,0.03074307
0.0353628,0.0375584,0.0381955,0.03093551,0.03068207,0.03160669
0.03492655,0.03604494,0.03499961,0.03015221,0.02970732,0.02900636
0.03370593,0.0352643,0.03536721,0.02988809,0.03088435,0.02956434
